"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"215","9971054","50","1","Jamaica Plain","91","moderate","Apartment","1"
"216","7348110","300","1","Jamaica Plain","93","strict","Apartment","2"
"218","3021446","80","1","Jamaica Plain","92","moderate","Apartment","1"
"219","7708436","85","1","Jamaica Plain","97","moderate","House","1"
"220","11514237","150","1","Jamaica Plain","98","flexible","Apartment","1"
"221","13363171","100","0.6","Jamaica Plain","100","strict","Apartment","1"
"222","11946029","100","1","Jamaica Plain","93","moderate","Apartment","1"
"223","6019555","84","1","Jamaica Plain","97","moderate","Townhouse","1"
"224","12052288","130","1","Jamaica Plain","98","moderate","Apartment","1"
"225","9676551","76","0.96","Jamaica Plain","95","moderate","Apartment","1"
"226","12789527","100","1","Jamaica Plain","100","moderate","Apartment","1"
"227","12855005","70","1","Jamaica Plain","100","flexible","House","1"
"228","1631942","125","1","Jamaica Plain","96","strict","Condominium","1"
"229","2884903","70",NULL,"Jamaica Plain","94","flexible","Apartment","1"
"231","13344433","170","1","Jamaica Plain","98","moderate","House","2"
"232","40601","95","0.9","Jamaica Plain","100","moderate","House","1"
"233","12033661","70","0.75","Jamaica Plain","100","flexible","Bed & Breakfast","1"
"237","6921672","250","1","Jamaica Plain","100","moderate","Apartment","2"
"238","2219399","115","1","Jamaica Plain","95","moderate","Apartment","1"
"239","336960","70","1","Jamaica Plain","92","moderate","House","1"
"240","336946","135","1","Jamaica Plain","93","moderate","House","1"
"241","6644330","120","1","Jamaica Plain","100","strict","Condominium","1"
"242","6939162","130",NULL,"Jamaica Plain","100","moderate","Loft","1"
"243","13640138","29","0.9","Jamaica Plain","88","strict","Apartment","1"
"244","12593295","68","1","Jamaica Plain","91","flexible","Apartment","1"
"245","10004575","300","1","Jamaica Plain","97","strict","Apartment","3"
"246","12855343","50","1","Jamaica Plain","95","moderate","House","1"
"247","9791506","119","1","Jamaica Plain","90","strict","Condominium","1"
"248","5801643","46","0.97","Jamaica Plain","75","moderate","Apartment","1"
"250","5676025","130","1","Jamaica Plain","79","strict","Apartment","2"
"251","6104388","180","1","Jamaica Plain","100","strict","Condominium","2"
"254","7495866","136","1","Jamaica Plain","92","strict","Apartment","1"
"255","13623390","100","0.9","Jamaica Plain","96","strict","Apartment","1"
"256","3629014","88","1","Jamaica Plain","100","strict","House","1"
"257","10883063","95","1","Jamaica Plain","93","flexible","House","1"
"258","713627","135","1","Jamaica Plain","80","strict","House","1"
"259","4105704","135","1","Jamaica Plain","98","moderate","House","1"
"260","3957602","75","1","Jamaica Plain","97","flexible","Bed & Breakfast","1"
"261","11739985","189","1","Jamaica Plain","96","strict","House","2"
"262","5874408","75","1","Jamaica Plain","98","flexible","House","1"
"263","7693009","55","1","Jamaica Plain","97","moderate","Apartment","1"
"264","3775876","125","1","Jamaica Plain","86","moderate","Apartment","1"
"265","3693850","88","1","Jamaica Plain","96","moderate","Condominium","1"
"266","4736217","72","0.78","Jamaica Plain","80","flexible","Apartment","1"
"267","14428514","22","0.67","Jamaica Plain","60","flexible","Apartment","1"
"268","3021862","90","1","Jamaica Plain","90","moderate","House","1"
"270","973840","82","1","Jamaica Plain","95","flexible","Apartment","1"
"271","9575439","84","0.7","Jamaica Plain","94","moderate","House","1"
"272","4430821","160","0.5","Jamaica Plain","94","flexible","Apartment","2"
"273","9591772","110",NULL,"Jamaica Plain","100","strict","Apartment","2"
"274","3079305","150","1","Jamaica Plain","98","moderate","Apartment","2"
"275","14474114","80","1","Jamaica Plain","100","strict","Condominium","1"
"276","7789429","225","1","Jamaica Plain","100","strict","Apartment","2"
"277","1203014","65","1","Jamaica Plain","96","moderate","Apartment","1"
"278","957224","275","0.9","Jamaica Plain","93","strict","House","3"
"279","4119345","300","1","Jamaica Plain","100","strict","House","3"
"280","5495547","185",NULL,"Jamaica Plain","100","moderate","House","3"
"281","12081834","175","1","Jamaica Plain","94","moderate","Apartment","1"
"283","3988018","75","1","Jamaica Plain","97","flexible","Apartment","1"
"284","728238","60","1","Jamaica Plain","87","strict","Apartment","1"
"285","12997241","100","1","Jamaica Plain","80","flexible","Apartment","2"
"286","10074653","75","1","Jamaica Plain","100","moderate","Townhouse","1"
"287","4054079","94","1","Jamaica Plain","95","strict","Townhouse","0"
"288","12849003","85","1","Jamaica Plain","98","moderate","Townhouse","1"
"289","8067585","83","1","Jamaica Plain","98","moderate","Apartment","1"
